id_job,total_energy_J,idle_energy_J,idle_energy_saving_J,idle_duration_steps,total_steps,idle_pct_energy,idle_duration_min,total_duration_min,potential_saving_J,potential_saving_pct
49554688839358,8055142.94961555,9919.637824312715,4959.818912156357,26,3825,0.12314663918889424,4.333333333333333,637.5,4959.818912156357,0.06157331959444712
49678039521635,7796096.014001998,1336.192063027179,668.0960315135895,3,3531,0.017139245856225248,0.5,588.5,668.0960315135895,0.008569622928112624
49745290522560,7834545.715847839,10527.130486008837,5263.565243004418,25,3536,0.13436810336959804,4.166666666666667,589.3333333333334,5263.565243004418,0.06718405168479902
49987772317700,15205908.284882499,17445.287060490395,8722.643530245197,34,7150,0.11472703066237915,5.666666666666667,1191.6666666666667,8722.643530245197,0.05736351533118957
50025213645758,7973434.683288792,2719.223888214279,1359.6119441071396,6,3958,0.034103545037038975,1.0,659.6666666666666,1359.6119441071396,0.017051772518519488
50065568354105,15554264.713344561,7178.87314218213,3589.436571091065,15,7020,0.04615372873282218,2.5,1170.0,3589.436571091065,0.02307686436641109
50071244191685,7418261.954391142,2392.6467970716085,1196.3233985358042,7,3572,0.03225346869363804,1.1666666666666667,595.3333333333334,1196.3233985358042,0.01612673434681902
50319533969777,5616608.166665251,101489.9825646902,50744.9912823451,280,4218,1.8069621300456116,46.666666666666664,703.0,50744.9912823451,0.9034810650228058
50528516710837,15548181.270374864,5052.06885713299,2526.034428566495,12,7176,0.03249298917526182,2.0,1196.0,2526.034428566495,0.01624649458763091
51043793070789,7870041.9695459325,2984.91722145962,1492.45861072981,6,3960,0.03792758962417372,1.0,660.0,1492.45861072981,0.01896379481208686
52840030343649,4030291.3300302764,1292.600225515464,646.300112757732,3,1949,0.032072128778485934,0.5,324.8333333333333,646.300112757732,0.016036064389242967
53232939796581,3824180.1877628383,2718.6179659147515,1359.3089829573757,8,1796,0.07109021626685312,1.3333333333333333,299.3333333333333,1359.3089829573757,0.03554510813342656
53512654935447,15889431.416071234,10476.668361008557,5238.334180504278,26,7037,0.06593482225180203,4.333333333333333,1172.8333333333333,5238.334180504278,0.032967411125901014
53606254826829,3734766.507029827,1312.586414338765,656.2932071693825,3,1753,0.035145072974927,0.5,292.1666666666667,656.2932071693825,0.0175725364874635
