id_job,idle_energy_J,total_energy_J,idle_duration_sec,total_duration_sec,idle_pct_energy,idle_duration_min,total_duration_min
58743695939281,7895.669723175475,16064017.818459509,16,8196,0.04915127592863096,2.6666666666666665,1366.0
58887925703090,1059.3287319478882,4105310.6768814414,3,1950,0.025803862735976825,0.5,325.0
59428617181294,10278.20404947333,8030870.722737013,26,3593,0.127983682023092,4.333333333333333,598.8333333333334
59783520242669,4764.900372340426,15442629.343381187,12,7248,0.03085549919245257,2.0,1208.0
59998211023279,1049.4754065414825,16051633.921896543,3,7840,0.0065381219858861835,0.5,1306.6666666666667
60281059510701,108291.566107453,8342312.373699893,409,16158,1.2981001100948308,68.16666666666667,2693.0
60593168283883,5684.024506346689,16322904.437242746,12,8160,0.03482238426500787,2.0,1360.0
61142245450611,5019.651036163296,7563586.265506536,10,3572,0.06636601818181456,1.6666666666666667,595.3333333333334
61330628283480,392011.0389734817,8948437.557473443,1431,17512,4.380776380856419,238.5,2918.6666666666665
62007486250006,55863.48043903771,8261146.156614862,215,15316,0.6762194903706761,35.833333333333336,2552.6666666666665
62504647031457,8340.398650486826,8069556.514259662,22,3969,0.1033563447476768,3.6666666666666665,661.5
62954215765614,3993.7529218550835,4112077.336346701,8,2006,0.09712251485530814,1.3333333333333333,334.3333333333333
63071045446593,70319.51476866762,5937224.540921921,230,5884,1.1843836170250106,38.333333333333336,980.6666666666666
64026578427148,8791.551690325929,4122856.2373915385,19,2068,0.21323934631997243,3.1666666666666665,344.6666666666667
64451654751838,21988.97321068847,16379854.310981227,46,7849,0.13424400970371778,7.666666666666667,1308.1666666666667
65070338338114,5243.61911461908,15842246.409493418,9,7946,0.03309896197219138,1.5,1324.3333333333333
66048555673701,96919.37879512462,8331123.504966196,362,15456,1.1633410396250976,60.333333333333336,2576.0
66119856206673,2121.226195378632,4090026.2404759675,6,1998,0.05186338841512613,1.0,333.0
66358237469570,4276.759008236102,3923593.4179736744,8,1826,0.10900107510234379,1.3333333333333333,304.3333333333333
66358941620052,5609.276018548827,4047565.083007972,12,2056,0.1385839610608623,2.0,342.6666666666667
66402078859876,2736.777474413027,8014083.696046495,7,3944,0.03414959935797941,1.1666666666666667,657.3333333333334
67739519397197,40467.34076691546,8719595.022639785,100,5188,0.4640965625335236,16.666666666666668,864.6666666666666
68022519158922,9057.102859290624,3830979.7411861806,23,1822,0.23641740419348412,3.8333333333333335,303.6666666666667
68245449095645,3004.713831458104,15307566.900881859,6,7170,0.019628944631853964,1.0,1195.0
68647661707143,7075.601635781286,15035831.4955159,14,7050,0.04705826636785219,2.3333333333333335,1175.0
68691726857641,5249.439132921528,7761167.780028714,12,3632,0.0676372329745216,2.0,605.3333333333334
68784671471373,1374.622026536846,4022161.368919153,3,1786,0.03417620280377359,0.5,297.6666666666667
69447973367597,11821.951930908259,7611916.202948028,22,3636,0.15530848758331997,3.6666666666666665,606.0
69610423824556,42013.21442532073,16486441.689583933,108,8288,0.2548349438670232,18.0,1381.3333333333333
70158740633382,3606.006414150712,3862844.8931136196,9,1966,0.09335105379403716,1.5,327.6666666666667
70770082151215,15970.09581041657,16296446.205768429,32,7992,0.09799741372302176,5.333333333333333,1332.0
70911837212537,8707.346888583848,3892379.832107451,18,1804,0.2237023945288872,3.0,300.6666666666667
72022131721836,7129.2399613223915,8129241.5182555,16,4160,0.08769871020946485,2.6666666666666665,693.3333333333334
72356763042544,13803.432181001577,15098807.695173109,24,7252,0.09142067678240814,4.0,1208.6666666666667
72961028064979,1283.7709938108028,4043450.4983709976,4,1890,0.03174939310690217,0.6666666666666666,315.0
73093598781980,7813.242743841989,16722326.336097766,16,8336,0.04672341985681668,2.6666666666666665,1389.3333333333333
73628814348226,1882.4461246200608,16493757.714455929,4,7980,0.011413082192726728,0.6666666666666666,1330.0
73724961670232,14992.818725692061,7819378.788606727,28,3594,0.19173925616108325,4.666666666666667,599.0
73863839880643,1371.2867353951888,7847027.506271455,3,3497,0.017475238035029657,0.5,582.8333333333334
73949002407307,59525.62203338744,8271808.109815096,227,15230,0.719620441421459,37.833333333333336,2538.3333333333335
74012495208562,2273.286125429553,7895917.543536757,4,3809,0.0287906517880289,0.6666666666666666,634.8333333333334
74176342429884,5875.956320042744,15406301.628979145,12,7240,0.038139953777031804,2.0,1206.6666666666667
74588619677508,2000.728599812997,16192648.626018923,4,7950,0.012355783454710154,0.6666666666666666,1325.0
74679037118572,4062.4031800503317,4038861.8678506063,8,1994,0.10058286995123836,1.3333333333333333,332.3333333333333
75819090570454,3178.883337020976,3887311.4790939083,8,1820,0.08177588428704818,1.3333333333333333,303.3333333333333
75828437824351,3866.3432080230855,7700386.383175993,10,3628,0.05020972994901105,1.6666666666666667,604.6666666666666
75894425702902,98731.9707164088,5653939.692945511,228,4046,1.7462508636163536,38.0,674.3333333333334
76236792670103,164552.41143532735,16717677.059849028,332,8532,0.9843018910236885,55.333333333333336,1422.0
76524255503726,82997.53154230224,5852361.372576445,269,5918,1.4181887661828267,44.833333333333336,986.3333333333334
77071588020014,38774.862549948055,15924804.644409882,65,7636,0.24348721014646343,10.833333333333334,1272.6666666666667
77145241434456,4558.109064399947,3865024.8109007403,9,1775,0.11793220709850202,1.5,295.8333333333333
77222400365329,150541.10523594223,15869560.829335313,319,7632,0.9486154459779562,53.166666666666664,1272.0
77698535574997,2941.7033083664073,8091770.688772479,6,3988,0.03635425942616107,1.0,664.6666666666666
79153689358323,3347.527011827782,7667060.279028717,10,3580,0.04366115421035734,1.6666666666666667,596.6666666666666
80028654437123,19603.928151452757,7740992.2695942,46,3614,0.2532482589920018,7.666666666666667,602.3333333333334
80384695883841,9479.523243712902,7639651.868703714,26,3906,0.12408318345691026,4.333333333333333,651.0
80566435996391,6359.938741488055,16619517.633514233,13,8216,0.038267890090040065,2.1666666666666665,1369.3333333333333
80873534651966,16474.345183159057,8182665.805386774,40,4004,0.2013322500879083,6.666666666666667,667.3333333333334
81408287863507,8123.897244753644,3990347.7203548625,18,1840,0.2035887048969052,3.0,306.6666666666667
81798055158941,11924.309019675131,8213001.010897598,24,4572,0.14518820835225887,4.0,762.0
82397825020533,81702.11355173081,5545270.836978491,235,4174,1.4733656110518973,39.166666666666664,695.6666666666666
82412012516277,132225.7497088411,8675803.53571924,497,16628,1.524074965096352,82.83333333333333,2771.3333333333335
82477479783409,6813.887021861519,8042279.668885243,17,3913,0.08472581534591182,2.8333333333333335,652.1666666666666
83096989064089,11543.33000811037,3898259.3826003573,20,1844,0.2961149804354558,3.3333333333333335,307.3333333333333
83134202733009,8271.538887430226,3855874.8594906507,17,1832,0.2145178251070853,2.8333333333333335,305.3333333333333
83417139332506,6362.973599372487,8032668.1340203285,12,4052,0.07921369952312267,2.0,675.3333333333334
85553143930711,7754.586451378923,15275337.899178492,16,7228,0.050765400428857056,2.6666666666666665,1204.6666666666667
85792424748520,18820.92694411514,15355786.432048839,48,7178,0.12256569878332157,8.0,1196.3333333333333
85887143519724,2806.558179281479,7744403.764248207,6,3594,0.03623982251852448,1.0,599.0
85943381391691,5728.236844298461,3883952.561732755,16,1832,0.1474847273042622,2.6666666666666665,305.3333333333333
86075318751947,8251.14846768218,16131087.58683155,12,7978,0.05115060235875182,2.0,1329.6666666666667
86329476612531,11596.182566420975,16313555.529684814,24,8204,0.0710831096588361,4.0,1367.3333333333333
86500768376626,1019.1604907797299,3886861.9280211553,3,1947,0.026220650737099782,0.5,324.5
87910236503621,10488.004853649389,15548650.001083689,25,7123,0.06745283257979574,4.166666666666667,1187.1666666666667
88305723956819,76717.16164570379,15533322.21501816,150,7372,0.4938876602426424,25.0,1228.6666666666667
88564338952222,11093.993087669165,8146703.746844249,20,4108,0.13617769140023772,3.3333333333333335,684.6666666666666
88636134708953,983.7971940967109,7719513.566331149,3,3879,0.012744289982047144,0.5,646.5
89087268150764,3139.510677381225,7946372.376394608,7,3968,0.03950872836902805,1.1666666666666667,661.3333333333334
89181637392039,3623.4999014483574,15706141.546553543,8,7200,0.023070592422131046,1.3333333333333333,1200.0
89292243557115,1953.746323024055,15129474.557249727,4,7086,0.012913510747720323,0.6666666666666666,1181.0
89737677546333,2192.254870785734,8030144.274183823,5,3565,0.027300317353371004,0.8333333333333334,594.1666666666666
89787814494717,475307.10492471646,7695014.736846195,1040,4584,6.176818644008488,173.33333333333334,764.0
90387577631934,5286.009097758945,8212746.350644316,12,4116,0.06436347686963742,2.0,686.0
90745352375672,7613.673577920593,3813352.132888251,14,1828,0.19965828784224973,2.3333333333333335,304.6666666666667
90923892599536,2784.4341101994432,3857424.6214169003,5,1745,0.07218375946324186,0.8333333333333334,290.8333333333333
90993771451923,1375.3167310996562,3947734.351239812,3,1949,0.034838127612809834,0.5,324.8333333333333
91230464129099,18870.21994446871,7905843.765218603,48,3616,0.23868698275429343,8.0,602.6666666666666
91261007510318,2530.6266160593796,8331226.481630753,5,3861,0.030375198917459212,0.8333333333333334,643.5
91522851123070,4990.647067168566,15740687.017573012,9,7745,0.031705395460801505,1.5,1290.8333333333333
92093132796191,1898.8458450484225,3981857.3753886335,5,1946,0.04768743995666327,0.8333333333333334,324.3333333333333
